dataset,recurrence,ret_imp,rand_imp,ret_advantage
ETTm2,0.7281308770179749,6.1611639857106795,27.53007106588281,-21.368907080172132
ETTm2,0.7411569952964783,22.200453429418552,45.05131320742268,-22.85085977800413
ETTm2,0.7681593894958496,1.317112769178172,-7.223580116877599,8.540692886055771
ETTm2,0.8126562833786011,-0.645220884773848,2.048608039790371,-2.6938289245642193
ETTm2,0.7989543080329895,0.5532070765893408,-2067.796280552864,2068.3494876294535
ETTm2,0.7993465065956116,11.492942984005571,52.12973871377308,-40.636795729767506
ETTm2,0.7884982824325562,8.04448680335366,-53.1459010352578,61.19038783861146
ETTm2,0.7897523045539856,16.485109838441314,1.5377743385476468,14.947335499893667
ETTm2,0.7391754388809204,-0.8428085492590504,-123.11883352888202,122.27602497962297
ETTm2,0.7357620000839233,5.035201772042311,59.18655508067998,-54.15135330863767
ETTm2,0.7212077379226685,1.6730834502228498,-13.280074345138072,14.953157795360921
ETTm2,0.7483919262886047,-65.79146587161054,-72.06227802207863,6.270812150468089
ETTm2,0.741569995880127,5.452642041880182,56.20601659339738,-50.7533745515172
ETTm2,0.7140491008758545,8.096590830395808,45.439186689176495,-37.34259585878068
ETTm2,0.7633526921272278,-7.130932891270862,47.65077436188827,-54.78170725315913
ETTm2,0.7301482558250427,6.2292312661694815,7.373321728444385,-1.144090462274903
ETTm2,0.6834136247634888,11.664331185091873,-0.8264919159206553,12.490823101012529
ETTm2,0.6486518979072571,-5.151329088647548,-30.058518957700343,24.907189869052797
ETTm2,0.6740248203277588,10.193761344576668,30.831143368203524,-20.637382023626856
ETTm2,0.6944369673728943,-0.652436053825577,-0.32783186566756,-0.324604188158017
ETTm2,0.7468999028205872,-0.24370936676255595,-27.797754001589688,27.554044634827132
ETTm2,0.8603339791297913,0.22628544656024224,72.78213357072427,-72.55584812416403
ETTm2,0.9091392755508423,26.780250138355505,-19.112502212437054,45.89275235079256
ETTm2,0.9025716781616211,-9.019108567423574,-0.8397174573621805,-8.179391110061394
ETTm2,0.8553370237350464,0.3033402059611771,-0.042401494223633554,0.34574170018481065
ETTm2,0.8028836846351624,22.556892064199815,0.17540776102370442,22.38148430317611
ETTm2,0.7624771595001221,0.8030649399934184,14.20994647955856,-13.406881539565141
ETTm2,0.7320901155471802,-23.985650433792017,-114.78656318477285,90.80091275098083
ETTm2,0.725854218006134,23.535898560040017,14.079033880712998,9.456864679327019
ETTm2,0.7141375541687012,22.560335578958636,59.04966287598828,-36.48932729702965
ETTm2,0.754332959651947,15.469002550731323,51.44715334010612,-35.978150789374794
ETTm2,0.7192017436027527,0.7472152891932723,2.6980758555982924,-1.9508605664050203
ETTm2,0.7107440829277039,11.21115594081837,-91.505715644468,102.71687158528637
ETTm2,0.7785556316375732,-1.0008225718262866,11.37515128544703,-12.375973857273317
ETTm2,0.8475468754768372,0.7788326290311712,-0.7595050438395465,1.5383376728707177
ETTm2,0.8397473096847534,15.76914106141037,21.271979883820045,-5.502838822409675
ETTm2,0.762111485004425,20.350866136318714,-11.221471357486413,31.57233749380513
ETTm2,0.7243707180023193,8.390997203159646,-30.26026096887905,38.651258172038695
ETTm2,0.7368231415748596,17.23023430450348,44.67388870997949,-27.443654405476007
ETTm2,0.7693801522254944,-0.6211056616062314,26.1873357317017,-26.808441393307934
ETTm2,0.7794561982154846,25.73621238254271,-15.263059071022244,40.99927145356496
ETTm2,0.7565872073173523,4.347116846455878,26.36645963806225,-22.01934279160637
ETTm2,0.732917845249176,-1.1245671141617204,-39.66626961259882,38.5417024984371
ETTm2,0.7663860321044922,-3.8252720645529044,-116.15408449820366,112.32881243365075
ETTm2,0.7559661865234375,15.339835638639581,49.81009145699442,-34.47025581835484
ETTm2,0.7461981773376465,17.714443156083483,12.424556879590314,5.289886276493169
ETTm2,0.7436643838882446,-5.085876455873606,23.323157512839007,-28.409033968712613
ETTm2,0.7527565956115723,0.7866086456390746,-92.44366302222285,93.23027166786193
ETTm2,0.720588743686676,0.13929135984980942,2.148642187824184,-2.0093508279743744
ETTm2,0.7336393594741821,8.18420738443589,32.88138385253495,-24.697176468099062
ETTm2,0.7569645047187805,2.0119323804149625,12.554571281408311,-10.54263890099335
ETTm2,0.7543241381645203,-98.27001162327107,-524.2059611909108,425.9359495676397
ETTm2,0.7345196008682251,-1.7563199029725238,-48.990927963680896,47.234608060708375
ETTm2,0.7332661151885986,-26.709710959489207,-41.57239281900834,14.862681859519135
ETTm2,0.7641833424568176,-23.62189232089877,-431.0229025687966,407.40101024789783
ETTm2,0.7632966041564941,37.413024531050304,83.57520028842498,-46.162175757374676
ETTm2,0.7825320363044739,6.785028896715352,22.438803338681566,-15.653774441966213
ETTm2,0.771760106086731,0.3350173840050814,35.27086528797357,-34.93584790396849
ETTm2,0.7658178210258484,4.16887920211301,10.999926571237413,-6.831047369124403
ETTm2,0.7624558210372925,4.282188714917435,43.341509846377456,-39.059321131460024
ETTm2,0.7744858264923096,7.067267920820003,39.84554107002599,-32.77827314920599
ETTm2,0.7368077635765076,9.404649035183839,-26.086818736860895,35.491467772044736
ETTm2,0.7582345008850098,-6.379981385055138,3.778933448492921,-10.158914833548058
ETTm2,0.7620337605476379,6.852504671397224,-0.1361219753886419,6.988626646785866
ETTm2,0.8634256720542908,0.19525828329904066,24.128400805537208,-23.933142522238168
ETTm2,0.86570143699646,31.209855929875935,-2.1838698648024693,33.3937257946784
ETTm2,0.852948784828186,-42.65205582991282,-27.781299348691007,-14.870756481221811
ETTm2,0.8589032888412476,-0.13380262720913288,-3858.48358867077,3858.349786043561
ETTm2,0.9304217100143433,24.155276707378697,59.475672872402065,-35.32039616502337
ETTm2,0.9328301548957825,31.644506785738137,14.508188267000929,17.13631851873721
ETTm2,0.9361799359321594,24.035033403728622,-6.456789456603697,30.49182286033232
ETTm2,0.7712915539741516,21.868006788757167,8.859326950266233,13.008679838490934
ETTm2,0.7415575385093689,-0.8588843157065444,7.891908176135039,-8.750792491841583
ETTm2,0.7062550187110901,19.44425474187747,1.5123947021995885,17.93186003967788
ETTm2,0.697007954120636,-25.64686049919434,-63.50229418589407,37.85543368669973
ETTm2,0.7032213807106018,42.147436479723396,3.375234504025773,38.77220197569763
ETTm2,0.7263442873954773,1.0701993604070092,47.39732617892485,-46.32712681851784
ETTm2,0.7326470613479614,22.309348540107603,12.66143257670082,9.647915963406783
ETTm2,0.7558202147483826,3.890428409521063,-8.983586384898246,12.874014794419308
ETTm2,0.8269109725952148,0.211717378115023,75.86594789664339,-75.65423051852837
ETTm2,0.8487620949745178,8.359945817647855,-9.562002562548583,17.92194838019644
ETTm2,0.8328341841697693,-34.23067177145621,-1.841909030488695,-32.388762740967515
ETTm2,0.7885487675666809,31.047525389790543,39.95751512426444,-8.909989734473896
ETTm2,0.7864563465118408,0.771955740006698,3.4435501632207886,-2.6715944232140907
ETTm2,0.75993412733078,-0.40259270129073865,3.861489527602376,-4.264082228893114
ETTm2,0.7620159983634949,6.064191620744765,15.447826199290592,-9.383634578545827
ETTm2,0.7672132253646851,6.855912383981626,-2.246780581377215,9.102692965358841
ETTm2,0.8101891279220581,-0.19975920150565285,-34.46177024472562,34.26201104321997
ETTm2,0.8905564546585083,-19.4135891394882,-757.0955604401831,737.681971300695
ETTm2,0.9276108741760254,0.12660591986205827,56.464942264507066,-56.33833634464501
ETTm2,0.9279534220695496,19.528423276532614,60.89932512911247,-41.370901852579856
ETTm2,0.9142266511917114,0.6974277567180632,0.36044470985726856,0.33698304686079467
ETTm2,0.8253082633018494,1.366139275344978,3.2347964449205193,-1.8686571695755414
ETTm2,0.7496102452278137,15.485422926801974,15.40194605458359,0.08347687221838385
ETTm2,0.6996896266937256,0.455707921669579,10.733695523659753,-10.277987601990175
ETTm2,0.6879955530166626,0.031870238777732526,7.808859972502118,-7.776989733724386
ETTm2,0.734898567199707,22.99809980692983,3.997010154014998,19.001089652914832
ETTm2,0.7634553909301758,-2.7113313531905723,-13.231235569843532,10.51990421665296
ETTm2,0.7391263842582703,-1.5017042619369247,-16.63710691410025,15.135402652163325
ETTm2,0.7394317984580994,12.49059881532784,-184.95493549775424,197.44553431308208
ETTm2,0.6999569535255432,30.114284772499612,-4.209143070646737,34.32342784314635
ETTm2,0.7510181069374084,20.39100572197676,1.3685887665374172,19.022416955439343
ETTm2,0.8022827506065369,-9.677907200098046,-27.802899098382134,18.124991898284087
ETTm2,0.7490838170051575,7.695540614223195,24.288346121723308,-16.592805507500113
ETTm2,0.7689350247383118,3.0957847621366557,34.71254289159027,-31.61675812945361
ETTm2,0.7710708379745483,-1.0332804009521765,3.507338683566224,-4.540619084518401
ETTm2,0.7592413425445557,-25.404051203517902,-228.11059987542097,202.70654867190308
ETTm2,0.7433328032493591,-1.9150979386732385,14.13214942761694,-16.04724736629018
ETTm2,0.7648556232452393,-11.930781670899464,-37.21936190450014,25.288580233600676
ETTm2,0.8126875162124634,1.037419700717079,32.301251358860625,-31.263831658143545
ETTm2,0.8069080114364624,-3.5304363710505506,2.526104397292413,-6.0565407683429635
ETTm2,0.8086287975311279,-1.533458649831196,-0.3263710785438698,-1.2070875712873261
ETTm2,0.7898088693618774,-52.35243888089971,-0.6610347693801243,-51.69140411151959
ETTm2,0.8240853548049927,-0.4114598173336443,-17.6748900818643,17.26343026453066
ETTm2,0.73746258020401,7.287658686581794,-3.195840696480299,10.483499383062092
ETTm2,0.805633544921875,0.23609393115931054,42.01458845450702,-41.77849452334771
ETTm2,0.8006995320320129,-0.05946888371857481,-1.8740593194956574,1.8145904357770826
ETTm2,0.8358352184295654,14.639110999805185,6.935253733059324,7.703857266745861
ETTm2,0.8599730730056763,30.033947409739326,21.45976347048183,8.574183939257498
ETTm2,0.8790816068649292,38.005392801559424,-10.674967564010359,48.68036036556978
ETTm2,0.8220230937004089,-6.671912272031136,-59.93075421162932,53.258841939598184
ETTm2,0.7740185856819153,8.502909212263672,0.20618407115599474,8.296725141107677
ETTm2,0.7440999150276184,7.001924374842332,13.458296626686689,-6.456372251844357
ETTm2,0.7387077808380127,12.16474361867809,-1.797731410180003,13.962475028858092
ETTm2,0.7525807023048401,27.982855083797865,0.6525253030454591,27.330329780752407
ETTm2,0.7891154885292053,0.016823406209550612,-0.06736603548185904,0.08418944169140966
ETTm2,0.8279483318328857,14.053393242860304,-3.682427288649333,17.73582053150964
ETTm2,0.85190749168396,33.04688047369563,2.3362332320518067,30.710647241643823
ETTm2,0.839503288269043,36.3520132728825,2.1221365682653834,34.22987670461712
ETTm2,0.8405484557151794,-193.00428806633255,2.2503955256316788,-195.25468359196424
ETTm2,0.8646233677864075,8.723816977173655,-33.60190340181308,42.32572037898674
ETTm2,0.8448522686958313,18.44965577096478,3.4831799761741515,14.96647579479063
ETTm2,0.7491046190261841,-12.301027437361533,-32.673906505605665,20.37287906824413
ETTm2,0.8085343241691589,-96.82603370204392,-165.00821318221585,68.18217948017194
ETTm2,0.8451809287071228,54.656651471155236,-289.00512903985884,343.66178051101406
ETTm2,0.8309159278869629,-33.59455732219626,-316.7143389447885,283.11978162259226
ETTm2,0.8237132430076599,11.62948642508245,54.79920856326134,-43.16972213817889
ETTm2,0.7897323369979858,7.035022033461812,0.13218582369027757,6.902836209771534
ETTm2,0.7660009860992432,-1.135591344276959,-23.987253351071054,22.851662006794093
ETTm2,0.8636239767074585,-2.7348532948906485,19.04808592164712,-21.78293921653777
ETTm2,0.8928790092468262,-5.288355555380989,-19.747632427676674,14.459276872295685
ETTm2,0.8945353627204895,-6.129420956420644,-36.0878473827423,29.95842642632165
ETTm2,0.8571087121963501,-16.069055461218788,-98.41267424629685,82.34361878507806
ETTm2,0.8686203956604004,-1.885408416949285,10.970878898416226,-12.856287315365512
ETTm2,0.8465243577957153,-6.756755739193136,6.015159035995068,-12.771914775188204
ETTm2,0.8486917614936829,-8.67438994535769,-21.303982864570962,12.629592919213271
ETTm2,0.8747733235359192,51.078961853487556,86.11906432175415,-35.040102468266596
ETTm2,0.8898147344589233,1.4329012528255316,-740.0153153294631,741.4482165822886
ETTm2,0.8421483039855957,13.500665837158918,-11.397870263133019,24.898536100291935
ETTm2,0.7855029106140137,8.039875420150628,-183.82695481579094,191.86683023594156
ETTm2,0.7536211609840393,-25.583390649238712,-444.95757623453994,419.37418558530123
ETTm2,0.7593187689781189,26.76317297914635,50.13815581604629,-23.374982836899942
ETTm2,0.7653118371963501,3.0904422700075864,38.05805762132701,-34.967615351319424
ETTm2,0.7487187385559082,-0.20976216943537537,14.80977206935862,-15.019534238793996
ETTm2,0.7653445601463318,-47.73436031996796,-68.27133172674439,20.53697140677643
ETTm2,0.7950044870376587,-3.6395599260765867,-174.60298776028765,170.96342783421105
ETTm2,0.8199562430381775,0.13013212663975782,-72.99765073158426,73.12778285822401
ETTm2,0.8222815990447998,-2.1062223930279225,-11.310488448277528,9.204266055249606
ETTm2,0.8917553424835205,-7.771731710303155,-127.7909252877476,120.01919357744444
ETTm2,0.9363110065460205,25.339191451211956,-1.4572209028293002,26.796412354041255
ETTm2,0.9391648173332214,9.780052829802772,-0.017427673775061835,9.797480503577834
ETTm2,0.919689416885376,-2.6547033424341193,-41.42627246344938,38.77156912101526
ETTm2,0.8263295292854309,-54.22778789269308,-205.8000075656277,151.57221967293464
ETTm2,0.8868092894554138,-66.4083126676418,-2805.1927724618654,2738.7844597942235
ETTm2,0.8606457114219666,8.637544314755766,77.12901869540218,-68.49147438064641
ETTm2,0.8563150763511658,-78.20456590826315,1.2185389795880697,-79.42310488785122
ETTm2,0.809450626373291,27.37200241614235,15.720046711459023,11.651955704683328
ETTm2,0.8418516516685486,1.1464488551581016,-39.29553639888208,40.441985254040176
ETTm2,0.90430748462677,-4.459696558855317,-19.588371664526207,15.12867510567089
ETTm2,0.8596368432044983,-8.325563051454123,6.394966631797219,-14.720529683251343
ETTm2,0.7897142171859741,-0.1337121187180064,-39.02094734947866,38.88723523076065
ETTm2,0.8065871596336365,-30.150027995156186,-133.7971275667652,103.647099571609
ETTm2,0.8366889357566833,-3.5232115146002516,-253.57791796507283,250.05470645047257
ETTm2,0.8215296864509583,24.09594723581193,89.65659896804765,-65.56065173223571
ETTm2,0.8407144546508789,-2.596619572443366,63.06215311975782,-65.65877269220118
ETTm2,0.7907552719116211,-0.961736062179104,17.889573696152564,-18.851309758331666
ETTm2,0.7663990259170532,-10.839628747284843,-32.29035672270922,21.45072797542438
ETTm2,0.8636375665664673,2.941440328376109,4.815325733002671,-1.8738854046265616
ETTm2,0.9053391218185425,3.4899412218035635,0.06658698178525319,3.4233542400183103
ETTm2,0.8683150410652161,18.865058542431047,-0.0139413233962758,18.87899986582732
ETTm2,0.8499460220336914,21.388558838838122,-83.00324009534486,104.39179893418299
ETTm2,0.8456190824508667,-7.41621213353926,-435.6690432884471,428.2528311549078
ETTm2,0.8220240473747253,6.791410147245508,48.96135493907441,-42.169944791828904
ETTm2,0.7743868827819824,-4.819416204015155,-153.4919376983611,148.67252149434597
ETTm2,0.7811440229415894,3.5306652013630258,28.694942972178982,-25.164277770815957
ETTm2,0.7558538317680359,4.08207209996011,-0.4648476893548495,4.546919789314959
ETTm2,0.756486177444458,1.3041664604670817,-87.89838511163529,89.20255157210238
ETTm2,0.7743524312973022,9.193450810357032,41.72314120211445,-32.52969039175741
ETTm2,0.7768123149871826,-7.001270436449851,23.08107769699835,-30.0823481334482
ETTm2,0.7876656651496887,5.402994063363728,29.13215350452471,-23.72915944116098
ETTm2,0.7825162410736084,5.652812001603142,2.6666417272418976,2.986170274361244
ETTm2,0.8004231452941895,0.554491756084536,0.09992325498933109,0.45456850109520497
ETTm2,0.798785388469696,22.44761532516334,-107.89675965121303,130.34437497637637
ETTm2,0.7699891924858093,11.810749583770772,82.60986993499401,-70.79912035122324
ETTm2,0.7673185467720032,5.084679569531546,3.8830260514320125,1.2016535180995334
ETTm2,0.7735591530799866,56.727321007543864,9.883198425789876,46.844122581753986
ETTm2,0.7425738573074341,1.979122326510833,-26.729977213181204,28.709099539692037
ETTm2,0.786360502243042,-0.04041069734527689,-57.625654414364845,57.585243717019566
ETTm2,0.8621947765350342,-18.416606585312536,-526.2210522956476,507.8044457103351
ETTm2,0.8904174566268921,0.18787032686351005,-49.53072073148372,49.71859105834723
ETTm2,0.8867521286010742,28.274938151296077,30.803974362787173,-2.5290362114910963
ETTm2,0.8107655048370361,12.274762856752751,15.086633740942618,-2.811870884189867
ETTm2,0.7923280000686646,-0.14725738063466745,-64.29324353133464,64.14598615069997
ETTm2,0.8690846562385559,18.46577692001004,-1.3087213432632432,19.774498263273284
ETTm2,0.8892963528633118,-2.9527074755151808,59.412598323665364,-62.36530579918055
ETTm2,0.842896044254303,0.24667381714568384,-19.31694232609372,19.563616143239404
ETTm2,0.8500745892524719,0.3151410474893522,-1.230926460105316,1.5460675075946682
ETTm2,0.802725613117218,13.184418406764104,16.86517139440416,-3.680752987640057
ETTm2,0.8090329170227051,-8.979544541644408,-4.349709578923069,-4.629834962721339
ETTm2,0.7881706357002258,20.153600239113693,0.5513932448292187,19.602206994284476
ETTm2,0.7840303182601929,4.3228431082789385,-0.7075900409996154,5.030433149278554
ETTm2,0.7562263607978821,13.16876610799359,-30.813173221214257,43.98193932920785
ETTm2,0.7970924973487854,33.14119608936312,-173.8546585429217,206.99585463228482
ETTm2,0.842099666595459,-3.0516080454994894,-4.7972969030024615,1.745688857502972
ETTm2,0.8142498135566711,-1.4603495853347503,5.555423688464097,-7.015773273798847
ETTm2,0.7544174790382385,-8.233616069959497,1.4020586992237065,-9.635674769183204
ETTm2,0.7621013522148132,-0.09825401258848293,-9.590770510160633,9.49251649757215
ETTm2,0.7560679912567139,3.434240901751294,-36.16934947298315,39.603590374734445
ETTm2,0.7465407252311707,12.311713902165026,-54.76884098814122,67.08055489030625
ETTm2,0.7435548305511475,-7.169656811700033,58.56632868806805,-65.73598549976808
ETTm2,0.7370401620864868,-22.97499636505708,-86.54583066479209,63.57083429973501
ETTm2,0.7497202157974243,-1.0048509736087068,-164.2165100974039,163.2116591237952
ETTm2,0.7723783254623413,-8.724920669249856,44.783567181485246,-53.5084878507351
ETTm2,0.767833948135376,-3.6572726554824166,6.370090021041121,-10.027362676523538
ETTm2,0.8393407464027405,19.326930191450476,0.8030727274104343,18.52385746404004
ETTm2,0.8440124988555908,-0.11833598741706366,-37.534101287909984,37.41576530049292
ETTm2,0.8493414521217346,0.7508659323572796,-112.83094077169775,113.58180670405504
ETTm2,0.8463210463523865,10.896663335754091,-1304.9048983376406,1315.8015616733946
ETTm2,0.8572216033935547,0.45477519877179917,-181.05044153755526,181.50521673632707
ETTm2,0.8065724968910217,-5.452807519800605,65.41352156794501,-70.86632908774561
ETTm2,0.7595864534378052,-4.515185796800699,0.30328101864776963,-4.818466815448469
ETTm2,0.7621947526931763,23.494407390035853,20.795633800737505,2.698773589298348
